"Object","Catalogue","Type","RA","Dec","Const","Mag","Subr","Size_max","Size_min","Common","Other"
"Abell 21","Abell","PLNNB","7.483","13.25","GEM","11.3","16.4","10","6","Medusa Nebula","Sh 2-274, PK 205+14.1"
"Abell 31","Abell","PLNNB","8.903","8.917","CNC","12.2","","16.8","15.6","","Sh 2-290, PK 219+31.1"
"Abell 33","Abell","PLNNB","9.652","-2.8","HYA","13.4","","5","4.5","Diamond Ring Nebula","PNG 238.0+34.8, PK 238+34.1, ARO 65"
"Abell 35","Abell","PLNNB","12.893","-22.867","HYA","12.0","18.9","12.8","12","","Sh 2-313, PK 303+40.1"
"Abell 85","Abell","SNREM","23.987778","62.44944","CAS","","","30","30","Medulla Nebula","CTB-1, LBN 576"
"Abell 194","Abell","GALCL","1.425","-1.5","PSC","13.9","","56","56","",""
"Abell 262","Abell","GALCL","1.878","36.15","AND","13.0","","100.8","100.8","",""
"Abell 347","Abell","GALCL","2.418","41.867","AND","13.0","","56","56","",""
"Abell 400","Abell","GALCL","2.96","6.033","CET","13.9","","56","56","",""
"Abell 407","Abell","GALCL","3.03","35.85","PER","14.7","","39.2","39.2","",""
"Abell 426","Abell","GALCL","3.328","41.5","PER","13.0","","190.4","190.4","","Perseus I"
"Abell 539","Abell","GALCL","5.278","6.467","ORI","14.4","","16.8","16.8","",""
"Abell 548","Abell","GALCL","5.785","-25.633","LEP","13.7","","56","56","",""
"Abell 569","Abell","GALCL","7.153","48.633","LYN","13.8","","25.8","25.8","",""
"Abell 576","Abell","GALCL","7.357","55.733","LYN","14.4","","28","28","",""
"Abell 779","Abell","GALCL","9.332","33.767","LYN","13.8","","50.4","50.4","",""
"Abell 1060","Abell","GALCL","10.613","-27.533","HYA","12.7","","168","168","","Hydra I"
"Abell 1185","Abell","GALCL","11.177","28.767","UMA","14.0","","28","28","","Arp 105"
"Abell 1213","Abell","GALCL","11.273","29.283","UMA","14.5","","22.4","22.4","",""
"Abell 1228","Abell","GALCL","11.358","34.333","UMA","13.8","","50.4","50.4","",""
"Abell 1314","Abell","GALCL","11.58","49.05","UMA","13.9","","28","28","",""
"Abell 1367","Abell","GALCL","11.742","19.833","LEO","14.0","","100.8","100.8","",""
"Abell 1377","Abell","GALCL","11.785","55.733","UMA","15.0","","20.2","20.2","","Ursa Major I"
"Abell 1656","Abell","GALCL","12.997","27.983","COM","13.5","","224","224","","Coma I"
"Abell 1736","Abell","GALCL","13.447","-27.1","HYA","14.8","","39.2","39.2","",""
"Abell 2065","Abell","GALCL","15.368","27.717","CRB","15.6","","22.4","22.4","",""
"Abell 2147","Abell","GALCL","16.037","15.883","HER","13.8","","39.2","39.2","",""
"Abell 2151","Abell","GALCL","16.085","17.717","HER","13.8","","56","56","","Hercules Galxy Cl"
"Abell 2152","Abell","GALCL","16.088","16.45","HER","13.8","","37","37","",""
"Abell 2162","Abell","GALCL","16.208","29.533","CRB","13.7","","56","56","",""
"Abell 2197","Abell","GALCL","16.462","40.917","HER","14.0","","89.6","89.6","",""
"Abell 2199","Abell","GALCL","16.477","39.517","HER","13.0","","89.6","89.6","",""
"Abell 2634","Abell","GALCL","23.638","27.017","PEG","13.8","","22.4","22.4","",""
"Abell 2666","Abell","GALCL","23.848","27.133","PEG","13.8","","78.4","78.4","",""
"Arp 2","Arp","GLOCL","19.48","-30.35","SGR","13.6","15.1","2.3","2.2","",""
"Arp 103","Arp","GALXY","16.825","45.467","HER","15.2","","0.9","0.8","","Zwicky's triplet"
"Arp 148","Arp","GALXY","11.065","40.833","UMA","15.0","","0.3","0.2","","MCG +07-23-019"
"Arp 248","Arp","GALXY","11.777","-3.867","VIR","13.3","","3","3","","Wild's triplet"
"B 1","Barnard","DRKNB","3.548","31.167","PER","","","30","30","","LDN 1472, B 2"
"B 2","Barnard","DRKNB","3.558","32.317","PER","","","20","20","","LDN 1472, B 1"
"B 3","Barnard","DRKNB","3.667","31.983","PER","","","20","20","","LDN 1470, B 4"
"B 4","Barnard","DRKNB","3.733","31.8","PER","","","30","30","","LDN 1470, B 3"
"B 5","Barnard","DRKNB","3.8","32.883","PER","","","60","60","","LDN 1471"
"B 7","Barnard","DRKNB","4.292","28.567","TAU","","","600","600","","LDN 1495"
"B 8","Barnard","DRKNB","4.317","55.05","CAM","","","150","90","","LDN 1392"
"B 9","Barnard","DRKNB","4.3","55.05","CAM","","","150","30","",""
"B 10","Barnard","DRKNB","4.312","28.267","TAU","","","6","6","",""
"B 11","Barnard","DRKNB","4.443","55.033","CAM","","","3","3","",""
"B 12","Barnard","DRKNB","4.5","54.283","CAM","","","24","24","","LDN 1407"
"B 13","Barnard","DRKNB","4.522","54.883","CAM","","","11","11","",""
"B 15","Barnard","DRKNB","4.532","46.617","PER","","","13","13","",""
"B 16","Barnard","DRKNB","4.542","46.6","PER","","","5","5","",""
"B 17","Barnard","DRKNB","4.542","46.517","PER","","","5","5","",""
"B 18","Barnard","DRKNB","4.52","24.35","TAU","","","60","60","",""
"B 20","Barnard","DRKNB","4.618","50.967","PER","","","60","60","",""
"B 21","Barnard","DRKNB","4.632","55.35","CAM","","","10","10","",""
"B 22","Barnard","DRKNB","4.633","26.05","TAU","","","120","120","",""
"B 23","Barnard","DRKNB","4.675","29.867","TAU","","","5","5","",""
"B 24","Barnard","DRKNB","4.715","29.733","TAU","","","8","8","",""
"B 25","Barnard","DRKNB","4.868","46.0","AUR","","","8","8","",""
"B 26","Barnard","DRKNB","4.91","30.617","AUR","","","5","5","","LDN 1517"
"B 29","Barnard","DRKNB","5.103","31.733","AUR","","","10","10","","LDN 1523"
"B 30","Barnard","DRKNB","5.503","12.767","ORI","","","67","67","","LDN 1577"
"B 31","Barnard","DRKNB","5.533","12.767","ORI","","","30","30","","LDN 1582"
"B 32","Barnard","DRKNB","5.535","12.417","ORI","","","3","3","","LDN 1583, B 225"
"B 33","Barnard","DRKNB","5.683","-2.458","ORI","","","6.0","4.0","Horsehead Nebula","LDN 1630"
"B 34","Barnard","DRKNB","5.725","32.65","AUR","","","20","20","",""
"B 35","Barnard","DRKNB","5.758","9.05","ORI","","","20","10","","LDN 1594"
"B 36","Barnard","DRKNB","5.762","7.517","ORI","","","120","120","","LDN 1599"
"B 37","Barnard","DRKNB","6.533","10.467","MON","","","180","180","","LDN 1605"
"B 38","Barnard","DRKNB","6.562","11.067","MON","","","60","60","",""
