"Object","Catalogue","Type","RA","Dec","Const","Mag","Subr","Size_max","Size_min","Common","Other"
"C 1","Caldwell","OPNCL","0.7874","85.2450","CEP","8.1","","14.0","14.0","Polarissima Cluster","NGC 188"
"C 2","Caldwell","PLNNB","0.2169","72.5220","CEP","11.46","","0.6","0.6","Bow-Tie Nebula","NGC 40"
"C 3","Caldwell","GALXY","12.2784","69.4626","DRA","10.08","","21.0","7.0","","NGC 4236"
"C 4","Caldwell","BRTNB","21.0269","68.1633","CEP","6.8","","18.0","18.0","Iris Nebula","NGC 7023"
"C 5","Caldwell","GALXY","3.7800","68.1000","CAM","9.2","","18.0","17.0","","IC342"
"C 6","Caldwell","PLNNB","17.9759","66.6330","DRA","11.28","","5.8","5.8","Cat's Eye Nebula","NGC 6543"
"C 7","Caldwell","GALXY","7.6143","65.6027","CAM","8.38","","18.0","10.0","","NGC 2403"
"C 8","Caldwell","OPNCL","1.4926","63.3006","CAS","9.5","","4.0","4.0","","NGC 559"
"C 9","Caldwell","BRTNB","22.9467","62.6167","CEP","7.7","","50.0","10.0","Cave Nebula","Sh 2-155"
"C 10","Caldwell","OPNCL","1.7728","61.2147","CAS","7.1","","16.0","16.0","","NGC 663"
"C 11","Caldwell","BRTNB","23.3467","61.2017","CAS","7.0","","15.0","8.0","Bubble Nebula","NGC 7635"
"C 12","Caldwell","GALXY","20.5812","60.1537","CEP","9.7","","11.0","9.0","Fireworks Galaxy","NGC 6946"
"C 13","Caldwell","OPNCL","1.3257","58.2778","CAS","6.4","","13.0","13.0","Dragonfly Cluster, E.T. Cluster, Owl Cluster","NGC 457"
"C 14","Caldwell","OPNCL","2.3158","57.1339","PER","4.3","","30.0","30.0","Sword Handle, h Persei","NGC 869"
"C 15","Caldwell","PLNNB","19.7467","50.5251","CYG","9.359","","2.3","2.3","Blinking Planetary","NGC 6826"
"C 16","Caldwell","OPNCL","22.2544","49.8353","LAC","6.4","","21.0","21.0","","NGC 7243"
"C 17","Caldwell","GALXY","0.5534","48.5087","CAS","9.5","","13.0","8.0","","NGC 147"
"C 18","Caldwell","GALXY","0.6494","48.3375","CAS","9.2","","12.0","9.0","","NGC 185"
"C 19","Caldwell","BRTNB","21.8915","47.2460","CYG","10.0","","12.0","12.0","Cocoon Nebula","IC 5146"
"C 20","Caldwell","BRTNB","20.9797","44.3300","CYG","6.0","","120.0","100.0","North American Nebula","NGC 7000"
"C 21","Caldwell","GALXY","12.4698","44.0936","CVN","9.64","","","","","NGC 4449, UGC 7592"
"C 22","Caldwell","PLNNB","23.4316","42.5350","AND","9.2","","2.2","2.2","Blue Snowball Nebula","NGC 7662"
"C 23","Caldwell","GALXY","2.3758","42.3483","AND","9.93","","14.0","2.0","Silver Sliver Galaxy, Outer Limits Galaxy","NGC 891"
"C 24","Caldwell","GALXY","3.3300","41.5117","PER","12.48","","2.6","1.0","","NGC 1275"
"C 25","Caldwell","GLOCL","7.6357","38.8819","LYN","10.05","","4.1","4.1","","NGC 2419"
"C 26","Caldwell","GALXY","12.2916","37.8071","CVN","10.6","","16.0","2.5","","NGC 4244"
"C 27","Caldwell","BRTNB","20.2000","38.3500","CYG","7.5","","20.0","10.0","Crescent Nebula","NGC 6888"
"C 28","Caldwell","OPNCL","1.9483","37.7517","AND","5.7","","50.0","50.0","","NGC 752"
"C 29","Caldwell","GALXY","13.1823","37.0589","CVN","13.67","","5.4","2.0","","NGC 5005"
"C 30","Caldwell","GALXY","22.6178","34.4158","PEG","9.48","","11.0","4.0","","NGC 7331"
"C 31","Caldwell","BRTNB","5.2900","34.3833","AUR","6.0","","30.0","19.0","Flaming Star Nebula","IC  405"
"C 32","Caldwell","GALXY","12.7022","32.5415","CVN","9.19","","15.0","3.0","Whale Galaxy","NGC 4631"
"C 33","Caldwell","SNREM","20.9386","31.7433","CYG","","","60.0","8.0","East Veil Nebula, Eastern Veil","NGC 6992"
"C 34","Caldwell","SNREM","20.7606","30.7083","CYG","","","70.0","6.0","West Veil Nebula, Western Veil, Witch's Broom Nebula","NGC 6960"
"C 35","Caldwell","GALXY","13.0022","27.9770","COM","11.3","","3.0","2.0","","NGC 4889"
"C 36","Caldwell","GALXY","12.5993","27.9600","COM","10.01","","10.0","4.0","","NGC 4559"
"C 37","Caldwell","OPNCL","20.2003","26.4783","VUL","8.1","","7.0","7.0","","NGC 6885"
"C 38","Caldwell","GALXY","12.6058","25.9874","COM","12.43","","16.0","3.0","Needle Galaxy","NGC 4565"
"C 39","Caldwell","PLNNB","7.4863","20.9118","GEM","9.68","","0.7","0.7","Clown Face Nebula, Lion Nebula, Eskimo Nebula","NGC 2392"
"C 40","Caldwell","GALXY","11.3344","18.3568","LEO","10.9","","3.0","2.0","","NGC 3626, NGC 3632"
"C 41","Caldwell","OPNCL","4.4500","16.0000","TAU","1.0","","330.0","330.0","Hyades",""
"C 42","Caldwell","GLOCL","21.0249","16.1879","DEL","10.46","","2.8","2.8","","NGC 7006"
"C 43","Caldwell","GALXY","0.0542","16.1452","PEG","10.5","","6.0","2.0","","NGC 7814, UGC 8"
"C 44","Caldwell","GALXY","23.0824","12.3229","PEG","10.85","","4.0","3.0","Superman Galaxy","NGC 7479"
"C 45","Caldwell","GALXY","13.6256","8.8851","BOO","10.2","","6.0","4.0","","NGC 5248"
"C 46","Caldwell","BRTNB","6.6533","8.7333","MON","10.0","","2.0","1.0","Hubble's Variable Nebula","NGC 2261"
"C 47","Caldwell","GLOCL","20.5698","7.4045","DEL","8.9","","5.9","5.9","","NGC 6934"
"C 48","Caldwell","GALXY","9.1723","7.0380","CNC","10.481","","","","","NGC 2775"
"C 49","Caldwell","BRTNB","6.5100","4.9807","MON","","","80.0","60.0","Rosette Nebula, Skull Nebula","NGC 2237,Sh 2-275"
"C 50","Caldwell","OPNCL","6.5353","4.9053","MON","4.8","","24.0","24.0","Satellite Cluster","NGC 2244"
"C 51","Caldwell","GALXY","1.0801","2.1195","CET","10.01","","12.0","11.0","","IC 1613"
"C 52","Caldwell","GALXY","12.8100","-5.8007","VIR","9.3","","6.0","3.0","","NGC 4697"
"C 53","Caldwell","GALXY","10.0872","-7.7186","SEX","9.1","","8.0","3.0","Spindle Galaxy","NGC 3115"
"C 54","Caldwell","OPNCL","8.0006","-10.7728","MON","7.6","","7.0","7.0","","NGC 2506"
"C 55","Caldwell","PLNNB","21.0697","-11.3635","AQR","12.07","","2.5","2.5","Saturn Nebula","NGC 7009"
"C 56","Caldwell","PLNNB","0.7843","-11.8719","CET","11.76","","3.8","3.8","Skull Nebula","NGC 246"
"C 57","Caldwell","GALXY","19.7489","-14.7976","SGR","8.1","","10.0","9.0","Barnard's Galaxy","NGC 6822, IC 4895"
"C 58","Caldwell","OPNCL","7.2961","-15.6392","CMA","7.2","","13.0","13.0","Caroline's Cluster","NGC 2360"
"C 59","Caldwell","PLNNB","10.4128","-18.6423","HYA","12.15","","21.0","21.0","Ghost of Jupiter, Eye Nebula","NGC 3242"
"C 60","Caldwell","GALXY","12.0314","-18.8676","CRV","11.3","","2.6","1.8","The Antennae","NGC 4038"
"C 61","Caldwell","GALXY","12.0315","-18.8862","CRV","13.0","","3.2","2.2","The Antennae","NGC 4039"
"C 62","Caldwell","GALXY","0.7857","-20.7604","CET","9.1","","20.0","7.0","Claw Galaxy","NGC 247"
"C 63","Caldwell","PLNNB","22.4940","-20.8372","AQR","13.524","","13.0","13.0","Helix Nebula","NGC 7293"
"C 64","Caldwell","OPNCL","7.3116","-24.9522","CMA","4.1","","8.0","8.0","Tau CMa Cluster","NGC 2362"
"C 65","Caldwell","GALXY","0.7925","-25.2888","SCL","7.1","","25.0","7.0","Silver Coin Galaxy, Silver Dollar Galaxy, Sculptor Galaxy","NGC 253"
"C 66","Caldwell","GLOCL","14.6601","-26.5383","HYA","10.2","","3.6","3.6","","NGC 5694"
"C 67","Caldwell","GALXY","2.7720","-30.2749","FOR","9.48","","9.0","6.0","","NGC 1097"
"C 68","Caldwell","BRTNB","19.0296","-36.9611","CRA","9.7","","1.0","1.0","R CrA Nebula","NGC 6729"
"C 69","Caldwell","PLNNB","17.2290","-37.1031","SCO","12.8","","0.8","0.8","Bug Nebula, Butterfly Nebula","NGC 6302"
"C 70","Caldwell","GALXY","0.9148","-37.6842","SCL","8.13","","20.0","13.0","Sculptor Pinwheel Galaxy","NGC 300"
"C 71","Caldwell","OPNCL","7.8698","-38.5464","PUP","5.8","","27.0","27.0","Termite Hole Cluster","NGC 2477"
"C 72","Caldwell","GALXY","0.2482","-39.1966","SCL","7.87","","32.0","6.0","String of Pearls Galaxy","NGC 55"
"C 73","Caldwell","GLOCL","5.2352","-40.0466","COL","","","","","","NGC 1851"
"C 74","Caldwell","PLNNB","10.1172","-40.4364","VEL","10.01","","0.8","0.8","Eight-Burst Nebula, Southern Ring Nebula","NGC 3132"
"C 75","Caldwell","OPNCL","16.4218","-40.6625","SCO","5.8","","29.0","29.0","","NGC 6124"
"C 76","Caldwell","OPNCL","16.9040","-41.8147","SCO","2.6","","15.0","15.0","Baby Scorpion Cluster","NGC 6231"
"C 77","Caldwell","GALXY","13.4250","-43.0167","CEN","7.0","","18.0","14.0","","NGC 5128"
"C 78","Caldwell","GLOCL","18.1340","-43.7149","CRA","6.6","","13.0","13.0","","NGC 6541"
"C 79","Caldwell","GLOCL","10.2936","-46.4125","VEL","6.7","","18.0","18.0","","NGC 3201"
"C 80","Caldwell","GLOCL","13.4465","-47.4795","CEN","3.6","","36.0","36.0","Omega Centauri","NGC 5139"
"C 81","Caldwell","GLOCL","17.4248","-48.4222","ARA","8.1","","7.0","7.0","","NGC 6352"
"C 82","Caldwell","OPNCL","16.6875","-48.7797","ARA","5.2","","15.0","15.0","","NGC 6193"
"C 83","Caldwell","GALXY","13.0909","-49.4679","CEN","14.4","","20.0","4.0","","NGC 4945"
"C 84","Caldwell","GLOCL","13.7741","-51.3743","CEN","7.6","","9.0","9.0","","NGC 5286"
"C 85","Caldwell","OPNCL","8.6882","-53.0500","VEL","2.5","","50.0","50.0","Omicron Vel Cluster","IC 2391"
"C 86","Caldwell","GLOCL","17.6784","-53.6743","ARA","5.17","","26.0","26.0","","NGC 6397"
"C 87","Caldwell","GLOCL","3.2045","-55.2162","HOR","8.63","","7.0","7.0","","NGC 1261"
"C 88","Caldwell","OPNCL","15.0915","-55.6078","CIR","7.9","","10.0","10.0","","NGC 5823"
