"Object","Catalogue","Type","RA","Dec","Const","Mag","Subr","Size_max","Size_min","Common","Other"
IC 59,IC,,,,,,,,,Gamma Cassiopeiae Nebula,
IC 349,IC,,,,,,,,,Merope Nebula Part,
IC 405,IC,,,,,,,,,Flaming Star Nebula,C 31
IC 410,IC,,,,,,,,,Tadpole Nebula,
"IC 417","IC","EMISS","5.468","34.424","AUR","","","","","Spider Nebula",""
"IC 418","IC","PLNNB","5.458","-12.697","LEP","","","","","Spirograph Nebula",""
"IC 434","IC","EMISS","5.684","-2.454","ORI","","","","","Flame Nebula,Orion B",""
"IC 443","IC","SNREM","6.277","22.532","GEM","","","","","Jellyfish Nebula",""
IC 708,IC,,,,,,,,,Papillon,""
"IC 1318","IC","1STAR","20.37","40.257","CYG","","","","","Sadr Region,Gamma Cygnni Nebula",""
"IC 1396","IC","CL+NB","21.649","57.489","CEP","","","","","Elephants Trunk Nebula",""
"IC 1613","IC","GALXY","1.08","2.118","CET","","","","","Caldwell 51",""
"IC 1795","IC","EMISS","2.442","62.042","CAS","","","","","Fish Head Nebula",""
IC 1805,IC,,,,,,,,,Heart Nebula,""
"IC 1848","IC","CL+NB","2.853","60.402","CAS","","","","","Soul Nebula",""
IC 2118,IC,,,,,,,,,Witch Head Nebula,""
IC 2177,IC,,,,,,,,,"Eagle Nebula,Seagull Nebula",""
IC 2220,IC,,,,,,,,,"Butterfly Nebula,Toby Jug Nebula",""
IC 2391,IC,,,,,,,,,Omicron Velorum Cluster,""
"IC 2431","IC","GALXY","9.076","14.596","CNC","","","","","Browning",""
IC 2574,IC,,,,,,,,,Coddington's Nebula,""
IC 2602,IC,,,,,,,,,"Southern Pleiades, Theta Carinae",
IC 2944,IC,,,,,,,,,Running Chicken Nebula,""
IC 2948,IC,,,,,,,,,Thackeray's Globules,""
"IC 3568","IC","PLNNB","12.552","82.564","CAM","","","","","Lemon Slice Nebula",""
IC 4406,IC,,,,,,,,,Retina Nebula,""
IC 4593,IC,,,,,,,,,White Eyed Pea Nebula,""
IC 4603,IC,,,,,,,,,Rho Ophiuchi Complex,""
IC 4604,IC,,,,,,,,,Rho Ophiuchi Nebula,""
IC 4606,IC,,,,,,,,,Antares Nebula,""
IC 4628,IC,,,,,,,,,Prawn Nebula,""
"IC 4697","IC","GALXY","18.207","25.427","HER","","","","","Caldwell 52",""
IC 4703,IC,,,,,,,,,Star Queen Nebula,""
IC 4756,IC,,,,,,,,,Graff's Cluster,""
IC 5146,IC,,,,,,,,,Cocoon Nebula,""
"IC 5148","IC","PLNNB","21.993","-39.386","GRU","","","","","Spare-tyre Nebula","IC 5150"
IC 5173,IC,,,,,,,,,Southern Integral Sign,""
