"Object","Catalogue","Type","RA","Dec","Const","Mag","Subr","Size_max","Size_min","Common","Other"
"M 1","Messier","SNREM","5.575","22.017","TAU ","","","","","Crab Nebula","NGC1952"
"M 2","Messier","GLOCL","21.558","0.817","AQR","","","","","","NGC7089"
"M 3","Messier","GLOCL","13.703","28.383","CVN","","","","","","NGC5272"
"M 4","Messier","GLOCL","16.393","-25.467","SCO","","","","","","NGC6121"
"M 5","Messier","GLOCL","15.31","2.083","SER","","","","","","NGC5904"
"M 6","Messier","OPNCL","17.668","-31.783","SCO","","","","","Butterfly Cluster","NGC6405"
"M 7","Messier","OPNCL","17.898","-33.183","SCO","","","","","Ptolemys Cluster","NGC6475"
"M 8","Messier","BRTNB","18.063","-23.617","SGR","","","","","Lagoon Nebula","NGC6523"
"M 9","Messier","GLOCL","17.32","-17.483","OPH","","","","","","NGC6333"
"M 10","Messier","GLOCL","16.952","-3.9","OPH","","","","","","NGC6254"
"M 11","Messier","OPNCL","18.852","-5.733","SCT","","","","","Wild Duck Cluster","NGC6705"
"M 12","Messier","GLOCL","16.787","-0.05","OPH","","","","","","NGC6218"
"M 13","Messier","GLOCL","16.695","36.467","HER","","","","","Hercules Cluster","NGC6205"
"M 14","Messier","GLOCL","17.627","-2.75","OPH","","","","","","NGC6402"
"M 15","Messier","GLOCL","21.5","12.167","PEG","","","","","","NGC7078"
"M 16","Messier","OPNCL","18.313","-12.217","SER","","","","","Eagle Nebula","NGC6611"
"M 17","Messier","BRTNB","18.347","-15.817","SGR","","","","","Swan or Omega Nebula","NGC6618"
"M 18","Messier","OPNCL","18.332","-16.867","SGR","","","","","","NGC6613"
"M 19","Messier","GLOCL","17.043","-25.733","OPH","","","","","","NGC6273"
"M 20","Messier","BRTNB","18.043","-22.967","SGR","","","","","Trifid Nebula","NGC6514"
"M 21","Messier","OPNCL","18.077","-21.5","SGR","","","","","","NGC6531"
"M 22","Messier","GLOCL","18.607","-22.1","SGR","","","","","","NGC6656"
"M 23","Messier","OPNCL","17.947","-18.983","SGR","","","","","","NGC6494"
"M 24","Messier","OPNCL","18.282","-17.517","SGR","","","","","Delle Caustiche","NGC6603"
"M 25","Messier","OPNCL","18.527","-18.75","SGR","","","","","","IC4725"
"M 26","Messier","OPNCL","18.753","-8.6","SCT","","","","","","NGC6694"
"M 27","Messier","PLNNB","19.993","22.717"," VUL","","","","","Dumbbell Nebula","NGC6853"
"M 28","Messier","GLOCL","18.408","-23.133","SGR","","","","","","NGC6626"
"M 29","Messier","OPNCL","20.398","38.533"," CYG","","","","","Cooling Tower","NGC6913"
"M 30","Messier","GLOCL","21.673","-22.817"," CAP","","","","","","NGC7099"
"M 31","Messier","GALXY","0.712","41.267","AND","","","","","Andromeda Galaxy","NGC224"
"M 32","Messier","GALXY","0.712","40.867","AND","","","","","","NGC221"
"M 33","Messier","GALXY","1.565","30.65","TRI","","","","","Triangulum Galaxy","NGC598"
"M 34","Messier","OPNCL","2.7","42.783","PER","","","","","Spiral Cluster","NGC1039"
"M 35","Messier","OPNCL","6.148","24.333","GEM","","","","","","NGC2168"
"M 36","Messier","OPNCL","5.602","34.133","AUR","","","","","Pinwheel Cluster","NGC1960"
"M 37","Messier","OPNCL","5.873","32.55","AUR","","","","","Salt-and-Pepper","NGC2099"
"M 38","Messier","OPNCL","5.478","35.833","AUR","","","","","Starfish Cluster","NGC1912"
"M 39","Messier","OPNCL","21.537","48.433"," CYG","","","","","","NGC7092"
"M 40","Messier","2STAR","12.373","58.083","UMA","","","","","Winnnecke 4","WNC 4"
"M 41","Messier","OPNCL","6.783","-19.267","CMA","","","","","","NGC2287"
"M 42","Messier","BRTNB","5.59","-4.55","ORI","","","","","Great Orion Nebula","NGC1976"
"M 43","Messier","BRTNB","5.593","-4.733","ORI","","","","","De Mairans Nebula","NGC1982"
"M 44","Messier","OPNCL","8.668","19.983","CNC","","","","","Beehive Cluster","NGC2632"
"M 45","Messier","OPNCL","3.783","24.117","TAU","","","","","The Pleiades",""
"M 46","Messier","OPNCL","7.697","-13.183","PUP","","","","","","NGC2437"
"M 47","Messier","OPNCL","7.61","-13.5","PUP","","","","","","NGC2422"
"M 48","Messier","OPNCL","8.23","-4.2","HYA","","","","","","NGC2548"
"M 49","Messier","GALXY","12.497","8","VIR","","","","","","NGC4472"
"M 50","Messier","OPNCL","7.053","-7.667","MON","","","","","Heart-Shaped Cluster","NGC2323"
"M 51","Messier","GALXY","13.498","47.2","CVN","","","","","Whirlpool Galaxy","NGC5194"
"M 52","Messier","OPNCL","23.403","61.583","CAS","","","","","Salt-and-Pepper","NGC7654"
"M 53","Messier","GLOCL","13.215","18.167","COM","","","","","","NGC5024"
"M 54","Messier","GLOCL","18.918","-29.517","SGR","","","","","","NGC6715"
"M 55","Messier","GLOCL","19.667","-29.033","SGR","","","","","","NGC6809"
"M 56","Messier","GLOCL","19.277","30.183","LYR","","","","","","NGC6779"
"M 57","Messier","PLNNB","18.893","33.033","LYR","","","","","Ring Nebula","NGC6720"
"M 58","Messier","GALXY","12.628","11.817","VIR","","","","","","NGC4579"
"M 59","Messier","GALXY","12.7","11.65","VIR","","","","","","NGC4621"
"M 60","Messier","GALXY","12.728","11.55","VIR","","","","","","NGC4649"
"M 61","Messier","GALXY","12.365","4.467","VIR","","","","","","NGC4303"
"M 62","Messier","GLOCL","17.02","-29.883","OPH","","","","","","NGC6266"
"M 63","Messier","GALXY","13.263","42.033","CVN","","","","","Sunflower Galaxy","NGC5055"
"M 64","Messier","GALXY","12.945","21.683","COM","","","","","Black-Eye Galaxy","NGC4826"
"M 65","Messier","GALXY","11.315","13.083","LEO","","","","","Leo Triplet","NGC3623"
"M 66","Messier","GALXY","11.337","12.983","LEO","","","","","","NGC3627"
"M 67","Messier","OPNCL","8.84","11.817","CNC","","","","","","NGC2682"
"M 68","Messier","GLOCL","12.658","-25.25","HYA","","","","","","NGC4590"
"M 69","Messier","GLOCL","18.523","-31.65","SGR","","","","","","NGC6637"
"M 70","Messier","GLOCL","18.72","-31.7","SGR","","","","","","NGC6681"
"M 71","Messier","GLOCL","19.897","18.783","SGE","","","","","","NGC6838"
"M 72","Messier","GLOCL","20.892","-11.467","AQR","","","","","","NGC6981"
"M 73","Messier","ASTER","20.982","-11.367","AQR","","","","","","NGC6994"
"M 74","Messier","GALXY","1.612","15.783","PSC","","","","","","NGC628"
"M 75","Messier","GLOCL","20.102","-20.083","SGR","","","","","","NGC6864"
"M 76","Messier","PLNNB","1.707","51.567","PER","","","","","Little Dumbell,Apple Core Nebula","NGC650"
"M 77","Messier","GALXY","2.712","0.017","CET","","","","","Cetus A","NGC1068"
"M 78","Messier","REFNB","5.778","0.05","ORI","","","","","","NGC2068"
"M 79","Messier","GLOCL","5.408","-23.45","LEP","","","","","","NGC1904"
"M 80","Messier","GLOCL","16.283","-21.017","SCO","","","","","","NGC6093"
"M 81","Messier","GALXY","9.927","69.067","UMA","","","","","Bode's Galaxy","NGC3031"
"M 82","Messier","GALXY","9.93","69.683","UMA","","","","","Cigar Galaxy","NGC3034"
"M 83","Messier","GALXY","13.617","-28.133","HYA","","","","","Southern Pinwheel Galaxy","NGC5236"
"M 84","Messier","GALXY","12.418","12.883","VIR","","","","","Markarians Chain","NGC4374"
"M 85","Messier","GALXY","12.423","18.183","COM","","","","","","NGC4382"
"M 86","Messier","GALXY","12.437","12.95","VIR","","","","","","NGC4406"
"M 87","Messier","GALXY","12.513","12.4","VIR","","","","","Smoking Gun","NGC4486"
"M 88","Messier","GALXY","12.533","14.417","COM","","","","","","NGC4501"
"M 89","Messier","GALXY","12.595","12.55","VIR","","","","","","NGC4552"
"M 90","Messier","GALXY","12.613","13.167","VIR","","","","","","NGC4569"
"M 91","Messier","GALXY","12.59","14.5","COM","","","","","","NGC4548"
"M 92","Messier","GLOCL","17.285","43.133","HER","","","","","","NGC6341"
"M 93","Messier","OPNCL","7.743","-22.133","PUP","","","","","","NGC2447"
"M 94","Messier","GALXY","12.848","41.117","CVN","","","","","","NGC4736"
"M 95","Messier","GALXY","10.733","11.7","LEO","","","","","","NGC3351"
"M 96","Messier","GALXY","10.78","11.817","LEO","","","","","","NGC3368"
"M 97","Messier","PLNNB","11.247","55.017","UMA","","","","","Owl Nebula","NGC3587"
"M 98","Messier","GALXY","12.23","14.9","COM","","","","","","NGC4192"
"M 99","Messier","GALXY","12.313","14.417","COM","","","","","St. Katherines Wheel","NGC4254"
"M 100","Messier","GALXY","12.382","15.817","COM","","","","","","NGC4321"
"M 101","Messier","GALXY","14.053","54.35","UMA","","","","","Pinwheel Galaxy","NGC5457"
"M 102","Messier","GALXY","14.053","54.35","DRA","","","","","Sc - Duplicate of M101","NGC5457"
"M 103","Messier","OPNCL","1.553","60.7","CAS","","","","","","NGC581"
"M 104","Messier","GALXY","12.667","-10.383","VIR","","","","","Sombrero Galaxy","NGC4594"
"M 105","Messier","GALXY","10.797","12.583","LEO","","","","","","NGC3379"
"M 106","Messier","GALXY","12.317","47.3","CVN","","","","","","NGC4258"
"M 107","Messier","GLOCL","16.542","-12.95","OPH","","","","","","NGC6171"
"M 108","Messier","GALXY","11.192","55.667","UMA","","","","","","NGC3556"
"M 109","Messier","GALXY","11.96","53.383","UMA","","","","","","NGC3992"
"M 110","Messier","GALXY","0.673","41.683","AND","","","","","","NGC205"
