"Object","Catalogue","Type","RA","Dec","Const","Mag","Subr","Size_max","Size_min","Common","Other"
"MP 1","Minor Planet","Asteroid","0","0","","6.7","","","","Ceres",""
"MP 2","Minor Planet","Asteroid","0","0","","6.4","","","","Pallas",""
"MP 4","Minor Planet","Asteroid","0","0","","5.5","","","","Vesta",""
"MP 7","Minor Planet","Asteroid","0","0","","7.0","","","","Iris",""
"MP 8","Minor Planet","Asteroid","0","0","","7.0","","","","Flora",""
"MP 433","Minor Planet","Asteroid","0","0","","7.1","","","","Eros",""
"MP 1036","Minor Planet","Asteroid","0","0","","8.0","","","","Ganymed",""
"MP 1566","Minor Planet","Asteroid","0","0","","9.8","","","","Icarus",""
"MP 1620","Minor Planet","Asteroid","0","0","","9.0","","","","Geographos",""
"MP 3122","Minor Planet","Asteroid","0","0","","8.7","","","","Florence",""
"MP 3200","Minor Planet","Asteroid","0","0","","10.2","","","","Phaethon",""
"MP 4179","Minor Planet","Asteroid","0","0","","8.9","","","","Toutatis",""
"MP 99942","Minor Planet","Asteroid","0","0","","3.4","","","","Apophis",""
