Object,Catalogue,Type,RA,Dec,Const,Mag,Subr,Size_max,Size_min,Common,Other
Abell 21,Abell,,,,,,,,,Medusa Nebula,Sh 2-274
Abell 31,Abell,,,,,,,,,,Sh 2-290
Abell 33,Abell,PLNNB,9.6526,-2.8097,HYA,12.9,,5,5,Diamond Ring Nebula,"PNG 238.0+34.8, PK 238+34.1, ARO 65"
Abell 35,Abell,,,,,,,,,,Sh 2-313
Abell 85,Abell,SNREM,23.987778,62.44944,CAS,,,30,30,Medulla Nebula,"CTB-1, LBN 576"
HDW 3,Extra,SNREM,3.4543,45.4057,PER,,,12,12,,PK 149-09.1
LDN 1622,Extra,DRKNB,5.91,2,ORI,,,60,30,Boogeyman Nebula,
NGC 40,NGC,,,,,,,,,Bow Tie Nebula,
NGC 104,NGC,,,,,,,,,47 Tucanae,
NGC 224,NGC,,,,,,,,,Andromeda Galaxy,
NGC 225,NGC,,,,,,,,,Sailboat Cluster,
NGC 246,NGC,,,,,,,,,Skull Nebula,
NGC 253,NGC,,,,,,,,,"Sculptor Galaxy,Silver Coin Galaxy",
NGC 281,NGC,,,,,,,,,PacMan Nebula,
NGC 292,NGC,,,,,,,,,"Nubecula Minor,Small Magellanic Cloud, SMC",
NGC 379,NGC,,,,,,,,,Pisces Cloud,
NGC 404,NGC,,,,,,,,,Mirach's Ghost,
NGC 457,NGC,,,,,,,,,"Dragonfly Cluster, E.T. Cluster, Owl Cluster, Phi Cassiopeiae Cluster",
NGC 598,NGC,,,,,,,,,Triangulum Galaxy,
NGC 650,NGC,,,,,,,,,"Apple Core Nebula,Barbell Nebula,Butterfly Nebula,Cork Nebula",
NGC 864,NGC,,,,,,,,,"Double Cluster,Perseus Double Cluster,C 14,h Persei",
NGC 869,NGC,,,,,,,,,"Double Cluster,Perseus Double Cluster,C 14,h Persei",
NGC 884,NGC,,,,,,,,,Chi Persei,
NGC 891,NGC,,,,,,,,,Silver Sliver Galaxy,
NGC 1039,NGC,,,,,,,,,Spiral Cluster,
NGC 1068,NGC,,,,,,,,,Cetus A,
NGC 1275,NGC,,,,,,,,,Perseus A,
NGC 1316,NGC,,,,,,,,,Fornax A,
NGC 1325,NGC,,,,,,,,,Holmberg VI,
NGC 1333,NGC,,,,,,,,,Embryo Nebula,
NGC 1432,NGC,,,,,,,,,Maia Nebula,
NGC 1435,NGC,,,,,,,,,"Merope Nebula,Tempel's Nebula",
NGC 1499,NGC,,,,,,,,,California Nebula,
NGC 1501,NGC,,,,,,,,,"Camel Eye Nebula,Oyster Nebula",
NGC 1514,NGC,,,,,,,,,Crystal Ball Nebula,
NGC 1535,NGC,,,,,,,,,Cleopatra's Eye Nebula,
NGC 1554,NGC,,,,,,,,,"Hind's Variable Nebula,Struve's Lost Nebula",
NGC 1595,NGC,,,,,,,,,Carafe Group,
NGC 1893,NGC,,,,,,,,,,"Sh 2-236,Cr 63,Mel 33"
NGC 1922,NGC,,,,,,,,,Starfish Cluster,
NGC 1952,NGC,,,,,,,,,"Crab Nebula,Taurus A",
NGC 1960,NGC,,,,,,,,,Pinwheel Cluster,
NGC 1976,NGC,,,,,,,,,"Orion Nebula,Trapezium Cluster",
NGC 1982,NGC,,,,,,,,,De Mairan's Nebula,
NGC 1990,NGC,,,,,,,,,Epsilon Orionis Nebula,
NGC 2024,NGC,,,,,,,,,"Flame Nebula,Tank tracks",
NGC 2070,NGC,,,,,,,,,"30 Doradus,Looped Nebula,Tarantula Nebula,True Lovers' Knot",
NGC 2080,NGC,,,,,,,,,Ghost Head Nebula,
NGC 2099,NGC,,,,,,,,,Auriga Salt-and-Pepper,
NGC 2169,NGC,,,,,,,,,"37 Cluster,LE Cluster",
NGC 2237,NGC,,,,,,,,,Rosette Nebula,
NGC 2261,NGC,,,,,,,,,Hubble's Variable Nebula,
NGC 2264,NGC,,,,,,,,,"Christmas Tree Cluster,Cone Nebula (Conus N.)",
NGC 2323,NGC,,,,,,,,,Heart-Shaped Cluster,
NGC 2346,NGC,,,,,,,,,Butterfly Nebula,
NGC 2359,NGC,,,,,,,,,"Duck Nebula,Thor's Helmet",
NGC 2362,NGC,,,,,,,,,Mexican Jumping Star,
NGC 2392,NGC,,,,,,,,,"Clown Nebula, Clown Face N.,Eskimo Nebula",
NGC 2419,NGC,,,,,,,,,Intergalactic Wanderer/Tramp,
NGC 2447,NGC,,,,,,,,,Butterfly Cluster,
NGC 2537,NGC,,,,,,,,,Bear Paw (Claw) Galaxy,
NGC 2573,NGC,,,,,,,,,Polarissima Australis,
NGC 2632,NGC,,,,,,,,,"Beehive Cluster,Manger",
NGC 2685,NGC,,,,,,,,,"Helix Galaxy,Pancake Galaxy",
NGC 2686,NGC,,,,,,,,,Spindle,
NGC 2736,NGC,,,,,,,,,"Herschel's Ray,Pencil",
NGC 3031,NGC,,,,,,,,,"Bode's Galaxy, Bode's Nebula",
NGC 3034,NGC,,,,,,,,,Cigar Galaxy,
NGC 3115,NGC,,,,,,,,,Spindle Galaxy,
