Object,Catalogue,Type,RA,Dec,Const,Mag,Subr,Size_max,Size_min,Common,Other
Sh 2-1,Sharpless,BRTNB,15.980889,-26.120556,SCO,,,150,150,,
Sh 2-2,Sharpless,BRTNB,17.0685,-38.1425,SCO,,,60,60,,
Sh 2-3,Sharpless,BRTNB,17.229167,-38.503056,SCO,,,12,12,,
Sh 2-4,Sharpless,BRTNB,17.330222,-39.338889,SCO,,,5,5,,
Sh 2-5,Sharpless,BRTNB,17.334306,-38.454722,SCO,,,100,100,,
Sh 2-6,Sharpless,BRTNB,17.251139,-37.116667,SCO,,,4,4,Bug Nebula,
Sh 2-7,Sharpless,BRTNB,16.0055,-22.950556,SCO,,,240,240,,
Sh 2-8,Sharpless,BRTNB,17.356889,-36.034722,SCO,,,120,120,Catpaw Nebula,
Sh 2-9,Sharpless,BRTNB,16.353028,-25.589444,SCO,,,80,80,,
Sh 2-10,Sharpless,BRTNB,17.316667,-34.090278,SCO,,,60,60,,
Sh 2-11,Sharpless,BRTNB,17.441944,-34.205556,SCO,,,90,90,War and Peace Nebula,
Sh 2-12,Sharpless,BRTNB,17.598944,-32.599722,SCO,,,120,120,,
Sh 2-13,Sharpless,BRTNB,17.507944,-31.562778,SCO,,,40,40,,
Sh 2-14,Sharpless,REFNB,17.505139,-30.263056,SCO,,,2,2,,
Sh 2-15,Sharpless,BRTNB,17.842889,-31.264167,SCO,,,30,30,,
Sh 2-16,Sharpless,BRTNB,17.797833,-29.303889,SGR,,,20,20,,
Sh 2-17,Sharpless,BRTNB,17.769111,-28.858056,SGR,,,25,25,,
Sh 2-18,Sharpless,BRTNB,17.812806,-29.251667,SGR,,,4,4,,
Sh 2-19,Sharpless,BRTNB,17.822694,-29.116944,SGR,,,12,12,,
Sh 2-20,Sharpless,BRTNB,17.820639,-28.667222,SGR,,,10,10,,
Sh 2-21,Sharpless,BRTNB,17.860833,-28.894722,SGR,,,5,5,,
Sh 2-22,Sharpless,BRTNB,17.917722,-25.036111,SGR,,,60,60,,
Sh 2-23,Sharpless,BRTNB,16.2235,-8.372222,SCO,,,50,50,,
Sh 2-24,Sharpless,BRTNB,16.184389,-7.077222,OPH,,,30,30,,
Sh 2-25,Sharpless,BRTNB,18.090556,-24.394167,SGR,,,90,90,Lagoon Nebula,
Sh 2-26,Sharpless,BRTNB,17.983056,-23.326389,SGR,,,20,20,,
Sh 2-27,Sharpless,BRTNB,16.620111,-10.569722,OPH,,,480,480,,
Sh 2-28,Sharpless,BRTNB,18.044944,-23.584167,SGR,,,40,40,,
Sh 2-29,Sharpless,BRTNB,18.17525,-23.998611,SGR,,,40,40,,
Sh 2-30,Sharpless,BRTNB,18.0595,-23.015278,SGR,,,20,20,Trifid Nebula,
Sh 2-31,Sharpless,BRTNB,18.188417,-23.796667,SGR,,,8,8,,
Sh 2-32,Sharpless,BRTNB,18.181639,-23.6475,SGR,,,8,8,,
Sh 2-33,Sharpless,REFNB,15.997889,-1.6175,SER,,,35,35,,
Sh 2-34,Sharpless,BRTNB,18.106806,-21.658333,SGR,,,90,90,,
Sh 2-35,Sharpless,BRTNB,18.264083,-20.251944,SGR,,,20,20,,
Sh 2-36,Sharpless,BRTNB,16.09175,0.394444,SER,,,45,45,,
Sh 2-37,Sharpless,BRTNB,18.295306,-19.664167,SGR,,,20,20,,"IC 1283, IC 1284"
Sh 2-38,Sharpless,BRTNB,18.145972,-18.269167,SGR,,,3,3,,
Sh 2-39,Sharpless,BRTNB,18.279583,-18.649722,SGR,,,3,3,,
Sh 2-40,Sharpless,BRTNB,18.200611,-17.744444,SGR,,,15,15,,
Sh 2-41,Sharpless,BRTNB,18.264278,-18.235278,SGR,,,90,90,,
Sh 2-42,Sharpless,BRTNB,18.171611,-16.815278,SGR,,,3,3,,
Sh 2-43,Sharpless,BRTNB,18.273694,-17.400556,SGR,,,15,15,,
Sh 2-44,Sharpless,BRTNB,18.274889,-16.733611,SGR,,,60,60,,
Sh 2-45,Sharpless,BRTNB,18.346139,-16.173333,SGR,,,60,60,Swan Nebula,
Sh 2-46,Sharpless,BRTNB,18.103083,-14.158611,SER,,,25,25,,
Sh 2-47,Sharpless,BRTNB,18.29575,-15.613889,SER,,,5,5,,
Sh 2-48,Sharpless,BRTNB,18.373361,-14.585833,SCT,,,10,10,,
Sh 2-49,Sharpless,BRTNB,18.311278,-13.961667,SER,,,90,90,Eagle Nebula,
Sh 2-50,Sharpless,BRTNB,18.425111,-14.711667,SCT,,,35,35,,
Sh 2-51,Sharpless,BRTNB,18.679639,-16.558333,SGR,,,35,35,,
Sh 2-52,Sharpless,BRTNB,19.796333,-23.0875,SGR,,,2,2,,
Sh 2-53,Sharpless,BRTNB,18.420778,-13.228889,SCT,,,15,15,,
Sh 2-54,Sharpless,BRTNB,18.298111,-11.73,SER,,,140,140,,
Sh 2-55,Sharpless,BRTNB,18.536417,-11.762222,SCT,,,5,5,,
Sh 2-56,Sharpless,BRTNB,18.518389,-9.714722,SCT,,,7,7,,
Sh 2-57,Sharpless,BRTNB,18.509333,-8.615833,SCT,,,2,2,,
Sh 2-58,Sharpless,BRTNB,18.524222,-8.463611,SCT,,,8,8,,
Sh 2-59,Sharpless,BRTNB,18.617,-7.600278,SCT,,,20,20,,
Sh 2-60,Sharpless,BRTNB,18.611389,-6.701111,SCT,,,20,20,,
Sh 2-61,Sharpless,BRTNB,18.548639,-5.01,SCT,,,2,2,,
Sh 2-62,Sharpless,BRTNB,18.459556,-3.856111,SER,,,4,4,,
Sh 2-63,Sharpless,BRTNB,19.962,-14.115556,SGR,,,55,55,,
Sh 2-64,Sharpless,BRTNB,18.526639,-1.913056,SER,,,25,25,,
Sh 2-65,Sharpless,BRTNB,18.782806,-3.743056,AQL,,,7,7,,
Sh 2-66,Sharpless,BRTNB,18.758361,-1.996389,AQL,,,8,8,,
Sh 2-67,Sharpless,BRTNB,18.823583,-2.353611,AQL,,,10,10,,
Sh 2-68,Sharpless,BRTNB,18.419861,0.855,SER,,,8,8,,
Sh 2-69,Sharpless,BRTNB,18.740611,-0.282222,AQL,,,20,20,,
Sh 2-70,Sharpless,BRTNB,18.244139,7.063056,OPH,,,5,5,,
Sh 2-71,Sharpless,BRTNB,19.034083,2.159722,AQL,,,3,3,,
Sh 2-72,Sharpless,BRTNB,19.064,2.313889,AQL,,,25,25,,
Sh 2-73,Sharpless,BRTNB,16.185444,21.873889,HER,,,75,75,,
Sh 2-74,Sharpless,BRTNB,19.146944,5.608889,AQL,,,3,3,,
Sh 2-75,Sharpless,BRTNB,18.987611,7.12,AQL,,,10,10,,
Sh 2-76,Sharpless,BRTNB,18.940472,7.813333,AQL,,,7,7,,
Sh 2-77,Sharpless,BRTNB,19.804806,1.148056,AQL,,,8,8,,
Sh 2-78,Sharpless,BRTNB,19.053083,14.129444,AQL,,,12,12,,
Sh 2-79,Sharpless,BRTNB,19.388444,13.976111,AQL,,,40,40,,
Sh 2-80,Sharpless,BRTNB,19.191361,16.865833,SGE,,,2,2,,
Sh 2-81,Sharpless,BRTNB,20.020417,11.792778,AQL,,,10,10,,
Sh 2-82,Sharpless,BRTNB,19.505778,18.275556,SGE,,,9,9,Little Cocoon Nebula,
Sh 2-83,Sharpless,BRTNB,19.408944,20.795833,VUL,,,2,2,,
Sh 2-84,Sharpless,BRTNB,19.817778,18.400278,SGE,,,15,15,,
Sh 2-85,Sharpless,BRTNB,19.054778,25.830278,LYR,,,6,6,,
Sh 2-86,Sharpless,BRTNB,19.719361,23.2875,VUL,,,40,40,,NGC 6820
Sh 2-87,Sharpless,BRTNB,19.773528,24.628056,VUL,,,10,10,,
Sh 2-88,Sharpless,BRTNB,19.766333,25.343889,VUL,,,25,25,,
Sh 2-89,Sharpless,BRTNB,19.834,26.486111,VUL,,,5,5,,
Sh 2-90,Sharpless,BRTNB,19.820361,26.867778,VUL,,,6,6,,
Sh 2-91,Sharpless,BRTNB,19.592778,29.604444,CYG,,,120,120,,
Sh 2-92,Sharpless,BRTNB,19.777583,28.245556,VUL,,,50,50,,
Sh 2-93,Sharpless,BRTNB,19.917,27.213611,VUL,,,1,1,,
Sh 2-94,Sharpless,BRTNB,19.464333,31.470556,CYG,,,25,25,,
Sh 2-95,Sharpless,BRTNB,19.917139,29.296944,VUL,,,1,1,,
Sh 2-96,Sharpless,BRTNB,19.478361,32.689167,CYG,,,25,25,,
Sh 2-97,Sharpless,BRTNB,19.934806,30.265833,CYG,,,10,10,,
Sh 2-98,Sharpless,BRTNB,19.979028,31.421667,CYG,,,15,15,,
Sh 2-99,Sharpless,BRTNB,20.014167,33.492778,CYG,,,5,5,,
Sh 2-100,Sharpless,BRTNB,20.030889,33.511667,CYG,,,4,4,,
Sh 2-101,Sharpless,BRTNB,19.999306,35.291111,CYG,,,20,20,Tulip Nebula,
Sh 2-102,Sharpless,BRTNB,20.52975,30.605278,CYG,,,40,40,,
Sh 2-103,Sharpless,BRTNB,20.842361,30.923333,CYG,,,210,210,Veil Nebula,
Sh 2-104,Sharpless,BRTNB,20.295861,36.744444,CYG,,,7,7,,
Sh 2-105,Sharpless,BRTNB,20.200778,38.349722,CYG,,,18,18,Crescent Nebula,
Sh 2-106,Sharpless,BRTNB,20.457694,37.396944,CYG,,,3,3,,
Sh 2-107,Sharpless,BRTNB,20.713,36.342778,CYG,,,5,5,,
Sh 2-108,Sharpless,BRTNB,20.376528,40.254167,CYG,,,180,180,Butterfly Nebula,
Sh 2-109,Sharpless,BRTNB,20.560694,40.3425,CYG,,,"1080.00","1080.00",,
Sh 2-110,Sharpless,BRTNB,21.346917,32.457778,CYG,,,50,50,,
Sh 2-111,Sharpless,BRTNB,21.698139,30.105833,CYG,,,90,90,,
Sh 2-112,Sharpless,BRTNB,20.564,45.659722,CYG,,,15,15,,
Sh 2-113,Sharpless,BRTNB,21.346722,38.091389,CYG,,,15,15,,
Sh 2-114,Sharpless,BRTNB,21.353,38.708611,CYG,,,9,9,,
Sh 2-115,Sharpless,BRTNB,20.576111,46.878056,CYG,,,50,50,,
Sh 2-116,Sharpless,BRTNB,20.538694,47.356944,CYG,,,2,2,,Abell 71
Sh 2-117,Sharpless,BRTNB,20.979611,44.321944,CYG,,,240,240,North American Nebula,
Sh 2-118,Sharpless,BRTNB,21.616972,40.215833,CYG,,,480,480,,
Sh 2-119,Sharpless,BRTNB,21.307167,43.937778,CYG,,,160,160,,
Sh 2-120,Sharpless,BRTNB,21.063083,49.880833,CYG,,,1,1,,
Sh 2-121,Sharpless,BRTNB,21.086861,49.649722,CYG,,,1,1,,
Sh 2-122,Sharpless,BRTNB,23.146472,14.925,PEG,,,40,40,,
Sh 2-123,Sharpless,BRTNB,21.706333,44.54,CYG,,,13,13,,
Sh 2-124,Sharpless,BRTNB,21.639361,50.351389,CYG,,,70,70,,
Sh 2-125,Sharpless,BRTNB,21.892556,47.271667,CYG,,,9,9,Cocoon Nebula,
Sh 2-126,Sharpless,BRTNB,22.557639,38.582222,LAC,,,160,160,,
Sh 2-127,Sharpless,BRTNB,21.478306,54.620833,CYG,,,2,2,,
Sh 2-128,Sharpless,BRTNB,21.535778,55.859167,CEP,,,1,1,,
Sh 2-129,Sharpless,BRTNB,21.195806,59.961389,CEP,,,140,140,Flying Bat,LBN 428
Sh 2-130,Sharpless,BRTNB,20.716556,63.228333,CEP,,,3,3,,
Sh 2-131,Sharpless,BRTNB,21.650083,57.485833,CEP,,,170,170,,IC 1396
Sh 2-132,Sharpless,BRTNB,22.31325,56.134722,CEP,,,90,90,Lion Nebula,
Sh 2-133,Sharpless,BRTNB,21.483306,64.305278,CEP,,,80,80,,
Sh 2-134,Sharpless,BRTNB,22.191639,59.410278,CEP,,,160,160,,
Sh 2-135,Sharpless,BRTNB,22.369889,58.738333,CEP,,,15,15,,
Sh 2-136,Sharpless,REFNB,21.274917,68.253056,CEP,,,38,27,Ghost Nebula,
Sh 2-137,Sharpless,BRTNB,21.952,64.693611,CEP,,,90,90,,
Sh 2-138,Sharpless,BRTNB,22.544306,58.481667,CEP,,,1,1,,
Sh 2-139,Sharpless,BRTNB,22.583444,58.217222,CEP,,,10,10,,
Sh 2-140,Sharpless,BRTNB,22.318833,63.285278,CEP,,,30,30,,
Sh 2-141,Sharpless,BRTNB,22.475139,61.644722,CEP,,,5,5,,
Sh 2-142,Sharpless,BRTNB,22.79325,58.061111,CEP,,,30,30,Wizard Nebula,NGC 7380
Sh 2-143,Sharpless,BRTNB,22.837472,57.713056,CEP,,,4,4,,
Sh 2-144,Sharpless,BRTNB,22.747833,59.892222,CEP,,,4,4,,
Sh 2-145,Sharpless,BRTNB,22.426,64.308611,CEP,,,90,90,,
Sh 2-146,Sharpless,BRTNB,22.823972,59.929167,CEP,,,2,2,,
Sh 2-147,Sharpless,BRTNB,22.924917,58.466944,CEP,,,2,2,,
Sh 2-148,Sharpless,BRTNB,22.936722,58.517222,CEP,,,2,2,,
Sh 2-149,Sharpless,BRTNB,22.940111,58.534167,CEP,,,1,1,,
Sh 2-150,Sharpless,BRTNB,22.519972,65.113889,CEP,,,40,40,,
Sh 2-151,Sharpless,BRTNB,23.050944,57.071667,CAS,,,20,20,,
